Ax,Ay,Az
-7081,3940,-2444
3866,-11459,14860
2564,10035,-1317
-6855,-414,518
5517,-2517,14507
378,-8185,-4005
-5764,12325,4026
6582,-6473,12923
-2122,-4607,-5761
-4106,12099,7519
7067,-9682,9142
-4241,-589,8854
-2070,10396,-6138
6639,-11458,11957
-5679,3450,5303
375,7386,-4853
5266,-12229,13929
-6779,7149,1879
2778,3754,-2632
3859,-11569,14823
2657,10083,-1357
-6896,-341,418
5466,-9597,14489
443,11927,-3992
-5769,-4490,3963
6560,-6541,13040
-2086,12417,-5679
-4174,-7884,7504
7096,-2655,10448
-4189,11342,-6176
-2103,-10717,10671
6659,1327,7318
-5624,9159,-5599
257,7623,13117
5344,-12293,3830
-6715,7093,-3869
2690,3861,14537
3642,-11629,361
-7118,10085,-1270
4703,-160,14762
1658,-9760,14441
-6429,11836,-3938
5994,-4390,3814
-772,-6613,13023
-5017,12381,-5690
6864,-8016,7320
-3174,-2853,10552
-4143,11490,-6321
-2166,-10733,10484
6681,1245,7308
-5603,9107,-5709
260,-12047,13065
5373,5208,3843
-6739,5912,-3999
2606,-12140,14524
3703,8600,460
-7102,1934,-1330
4653,-10870,14838
1709,11055,-2594
-6472,-2246,1996
6002,-8335,13909
-690,-6770,-4829
-5015,12294,5588
6824,-7888,11982
-3134,-3002,10687
-3304,11518,-6185
7038,-10610,10459
-4896,1093,7535
-1125,9329,-5684
6184,-12059,12951
-6163,5062,3995
1388,6056,-4051
4643,-12030,14455
-7009,8401,433
-7061,2038,-1406
4586,-10892,14817
1779,10963,-2555
-6488,-2122,1848
5976,-8431,13980
-613,12275,-4864
-5144,-6055,5373
6845,-5034,12059
-3054,12208,-6083
-3359,-9342,8783
7035,-1052,9128
-4814,10543,-6207
-1126,-11446,11770
6234,3007,5840
-6167,7847,-5072
1271,-12244,13852
4681,-12164,2319
-7006,8457,-2937
3608,2204,14838
2860,-10855,-1058
-6944,10954,116
5346,-2052,14629
692,-8512,-3741
-5895,12226,-4747
6484,-5968,5383
-1820,-5097,12133
-4341,12186,-6022
7051,-9131,8803
-3989,-1053,9227
-2353,10585,-6094
6751,-11397,11699
-5506,2946,5925
-6068,7926,-5062
1259,-12222,13757
